Corpus ID,Authors,Year,Title,DOI,Database,India_confidence,India_reason,NF_confidence,NF_reason,Social_confidence,Social_reason
216,Haigh M.J.,2018,International Development Projects of India's Hindu NGOs [Proyectos de desarrollo internacional de ONG hindúes de la India],10.1177/194277861801100306,Scopus,high,"The paper explicitly studies Hindu NGOs originating in India (their approaches and initiatives), so Indian organisations are the primary population of interest even though projects are located abroad.",high,"The paper examines Hindu NGOs promoting self-sufficient, low‑ecological‑footprint development (including ISKCON model farms and related sustainability initiatives), indicating an alternative/sustainable farming and agroecological orientation.",high,"The paper analyzes Hindu NGOs' agricultural/development projects and explicitly addresses social dimensions—cooperative enterprise, self-reliance, social justice, spiritual and cultural influences, and community-based models around model farms—so it substantively studies social aspects of farming."
221,Münster D.,2018,"Performing alternative agriculture: Critique and recuperation in Zero Budget Natural Farming, South India",10.2458/v25i1.22388,Scopus,high,"The study is based on fieldwork in the South Indian state of Kerala and focuses on the Indian Zero Budget Natural Farming movement and its founder Subhash Palekar, so India is the primary study site and context.",high,"Directly analyzes the Zero Budget Natural Farming/Subhash Palekar movement and its agroecological, natural-farming practices (e.g., fermentation, mulching, cow-based methods), so it clearly addresses non-conventional, sustainable farming in India.",high,"Ethnographic analysis of the ZBNF movement examines political and cultural dimensions (movement politics, critiques of state institutions, Hindu-nativist narratives) and smallholder practices, so it substantively studies social aspects of farming."
226,"Khadse A., Rosset P.M., Morales H., Ferguson B.G.",2018,"Taking agroecology to scale: the Zero Budget Natural Farming peasant movement in Karnataka, India",10.1080/03066150.2016.1276450,Scopus,high,"The paper is an India-specific case study of the Zero Budget Natural Farming peasant movement in Karnataka, making India (a specific Indian state and farming population) the central focus.",high,"The paper explicitly studies Zero Budget Natural Farming (ZBNF) and its scaling as a grassroots agroecological/alternative farming movement in Karnataka, addressing non‑conventional, low‑input sustainable agriculture.",high,"Analyzes ZBNF as a grassroots peasant movement in Karnataka, focusing on social movement dynamics (mobilization, leadership, volunteerism), collective pedagogy, and livelihood issues such as indebtedness and farmer suicides, i.e., substantive social/political dimensions."
278,"Khadse A., Rosset P.M.",2019,Zero Budget Natural Farming in India–from inception to institutionalization,10.1080/21683565.2019.1608349,Scopus,high,"The paper explicitly examines Zero Budget Natural Farming’s origins, scaling and institutionalization within India, focusing on Indian states (Karnataka, Andhra Pradesh) and Indian peasant populations, so India is the central case.",high,"The paper explicitly examines Zero Budget Natural Farming (ZBNF) and its scaling/institutionalization in India, a clearly defined alternative, agroecological farming approach.",high,"The paper traces ZBNF’s emergence as a peasant-led social movement and its institutionalization into state programs, addressing social and political processes (scaling, movement dynamics, impacts on peasant families and governance) rather than only biophysical outcomes."
299,Prasad C.S.,2020,Constructing Alternative Socio-technical Worlds: Re-imagining RRI through SRI in India,10.1177/0971721820903002,Scopus,high,"The paper centrally analyzes the System of Rice Intensification and Responsible Research and Innovation specifically in the Indian context, using India-focused case study evidence and discussing Indian agricultural actors, institutions, and politics.",high,"The paper explicitly analyzes the System of Rice Intensification (SRI) as an agroecological innovation and discusses alternative, non‑conventional farming practices and knowledge systems in India.",high,"The paper examines social and political dimensions of agricultural innovation—power relations, vulnerable farming communities, civil society networks, and participatory governance around SRI—so it substantively addresses social aspects of farming."
307,"Koner N., Laha A.",2020,Economics of zero budget natural farming in Purulia district of West Bengal: Is it economically viable?,10.7896/j.1924,Scopus,high,"The study is an empirical case study of Zero Budget Natural Farming in Purulia district, West Bengal, using Indian farmers and data, so India is the primary study site and focus.",high,"The study explicitly evaluates Zero Budget Natural Farming (ZBNF) as an alternative to chemical farming in Purulia, comparing costs, yields, incomes and factors affecting its long-term sustainability.",high,"The study empirically examines costs, yields and especially household income under ZBNF and discusses socio-economic factors affecting long-term sustainability, so it substantively addresses livelihoods/income and broader socio-economic dimensions."
328,"Reddy V.R., Chiranjeevi T., Syme G.",2020,"Inclusive sustainable intensification of agriculture in West Bengal, India: policy and institutional approaches",10.1080/14735903.2019.1698489,Scopus,high,"The study is explicitly focused on two villages in West Bengal and evaluates Indian policies, programmes, and institutions for sustainable agricultural intensification, so India (and an Indian state) is the central focus.",high,Explicitly assesses policy and institutional support for sustainable agricultural intensification in West Bengal and discusses organic and natural farming programs and barriers to their adoption.,high,"The paper substantively examines social dimensions—policy and institutional factors, local governance (Panchayati Raj), farmer income pressures and awareness—that shape adoption of sustainable intensification in West Bengal."
333,"Erler M., Dittrich C.",2020,"Middle class, tradition and the desi-realm-discourses of alternative food networks in Bengaluru, India",10.3390/su12072741,Scopus,high,"The study is explicitly based on primary interviews and analysis of alternative food networks in Bengaluru, India, making an Indian city and its local actors the central focus.",high,"Examines alternative food networks in Bengaluru that draw on traditional agriculture and agri‑food practices as alternatives to conventional systems, indicating a focus on non‑conventional/sustainable approaches.",high,"Examines alternative food network discourses among middle-class actors in Bengaluru and their implications for peasant livelihoods, class dynamics and traditional practices, addressing socio-economic and class/livelihood social dimensions."
335,Kumpf D.,2020,Organic taste and labour on Indian tea plantations*,10.1111/1469-8676.12951,Scopus,high,"The paper explicitly studies organic agriculture, taste, and labour on Indian tea plantations, making India the primary study site and population of interest.",high,"The paper explicitly examines organic agriculture on Indian tea plantations, focusing on organic practices, multispecies relations, and labour implications, which directly addresses a non‑conventional/sustainable farming approach.",high,"The study substantively analyzes plantation labour relations, precarious work, worker and supervisor dynamics, resistance, and social inequalities produced by organic tea production."
345,"Meek D., Anderson C.R.",2020,"Scale and the politics of the organic transition in Sikkim, India",10.1080/21683565.2019.1701171,Scopus,high,"The paper's primary case and dataset are Sikkim, an Indian state, examining state organic policy and local actors (farmers, consumers, officials), so India is the central focus.",high,"The paper analyzes Sikkim’s statewide shift to organic agriculture and its effects on agroecology transitions, focusing on policy-driven scaling, collectivization, and education—clearly addressing alternative/sustainable farming.",high,"Based on interviews, the paper examines state-driven social processes—collectivization, re-scaling of production and marketing, farmer producer organizations, education and political dimensions—showing substantive analysis of social dimensions in the organic transition."
350,Touri M.,2020,Sustainable Development and Communication in Global Food Networks: Lessons From India,10.1007/978-3-030-46119-5,Scopus,high,The work centers on India through participatory case studies of Indian farming communities and uses India-specific examples as the primary basis for its analysis of sustainable development and communication in global food networks.,high,"Focuses explicitly on organic food and fair-trade movements and communication among farming communities and supply-chain actors, which aligns with alternative and sustainable agriculture approaches.",high,"The work uses participatory methods to analyze communication, trade relations, self-representation and knowledge exchange among Indian farming communities and other actors in organic and fair-trade networks, addressing social processes, community voice and livelihoods rather than only agronomic outcomes."
351,"Tyagi B.B., Kumar R.",2020,The Future of Farming: To What End and For What Purpose?,10.1177/0971721820902966,Scopus,high,"The paper centers on farming in India, discussing an Indian award-winning farmer and agricultural issues in specific Indian states (Punjab and Uttar Pradesh), making India the primary focus.",high,"The conversation explicitly addresses alternative and agroecological approaches to farming, critiques Green Revolution practices, and discusses traditional knowledge, values, and technology within sustainable/alternative agricultural systems.",high,"The paper addresses social and ethical dimensions of agriculture—debating the value of human labour, how communities want to live, and the role of technology and knowledge in farming transitions in Punjab and Uttar Pradesh, not just biophysical outcomes."
361,"Bharucha Z.P., Mitjans S.B., Pretty J.",2020,"Towards redesign at scale through zero budget natural farming in Andhra Pradesh, India*",10.1080/14735903.2019.1694465,Scopus,high,"The paper studies Zero Budget Natural Farming implemented at scale in the Indian state of Andhra Pradesh, using state-level program data and farmer outcomes, making India (Andhra Pradesh) the primary study context.",high,"Evaluates Zero Budget Natural Farming (a non-conventional natural/agroecological approach) in Andhra Pradesh, comparing yields and incomes and examining state-led scale-up.",high,"The paper reports on farmer incomes and household transitions, examines farmers’ experiences with adoption, and reflects on state-led training and extension—indicating substantive study of socio-economic outcomes and policy/organizational dimensions."
370,"Das S., Mandal S., Mohanty S.",2021,Agribusiness Opportunities of Organic Agriculture in West Bengal – An Empirical Analysis,10.63040/25827510.2021.03.011,Scopus,high,"The study is explicitly about organic agriculture in West Bengal (an Indian state), using local farmer and consumer data and discussing state-level marketing, production and policy implications in India.",high,"The paper explicitly investigates organic agriculture in West Bengal—its status, economics, adoption factors, production and marketing constraints and consumer demand—so it addresses a non‑conventional, sustainable farming approach.",high,"The paper examines socio-economic aspects of organic farming—costs, net returns, adoption factors, market linkages and consumer demand—addressing livelihoods, income effects and institutional/market access for farmers."
379,"Aggarwal V., Mahajan R.",2021,Applying Circular Economy Principles to Agriculture: Selected Case Studies from the Indian Context,10.1007/978-981-16-3791-9_12,Scopus,high,"The chapter analyzes circular farming case studies from specific Indian states (Rajasthan and Madhya Pradesh) and focuses on Indian farmers, making India the primary study context.",high,"Documents long-term circular and natural farming practices in Indian case studies and develops a framework around sustainable, non‑conventional agricultural approaches, so it clearly addresses alternative/agroecological farming.",high,"Uses qualitative case studies and explicitly analyzes personal, social and systemic antecedents and consequences of farmers’ adoption of circular farming, indicating substantive treatment of social dimensions (e.g., social drivers, struggles, community influences)."
384,"Taylor M., Bhasme S.",2021,Between deficit rains and surplus populations: The political ecology of a climate-resilient village in South India,10.1016/j.geoforum.2020.01.007,Scopus,high,"The paper explicitly examines a state-led climate-resilience project in a drought-prone region of south India, using village-level Indian case material and Indian policy context as its primary focus.",high,"The paper evaluates a state-led climate-resilience initiative that promotes agroforestry, watershed development and other climate-smart/adaptation practices, which are forms of sustainable/agroecological farming rather than conventional industrial agriculture.",high,"The paper explicitly analyzes political and social dynamics—power relations, elite capture, uneven benefits to smallholders and market/ institutional forces—showing it substantively addresses social dimensions of agricultural resilience."
393,Flachs A.,2021,Charisma and agrarian crisis: Authority and legitimacy at multiple scales for rural development,10.1016/j.jrurstud.2021.10.010,Scopus,high,The paper explicitly draws on multiple case studies from Indian agriculture at three scales and centers its analysis on agrarian development and politics in India.,medium,"The paper examines plural models of alternative agrarian development and how charismatic programs, tools, plants and leaders reshape political-ecological relations in Indian agriculture, indicating engagement with non‑conventional/alternative farming approaches even though specific practices are not named.",high,"Analyzes political and social dynamics in Indian agrarian change—charismatic leaders/programs, collective action, alliances, and social reorganization—indicating substantive treatment of social dimensions such as political affiliations, rural politics, and community structures."
397,"Vincent A., Balasubramani N.",2021,"Climate-smart agriculture (CSA) and extension advisory service (EAS) stakeholders’ prioritisation: A case study of Anantapur district, Andhra Pradesh, India",10.2166/wcc.2021.329,Scopus,high,"The study is a case study of Anantapur district in Andhra Pradesh and examines climate‑smart agriculture interventions and extension stakeholders within the Indian context, so India is the primary focus.",high,"The study explicitly evaluates climate-smart agriculture interventions—including Zero-Budget Natural Farming (ZBNF) and millet/low-input approaches—promoted by public agencies and NGOs in Andhra Pradesh, indicating a clear alternative/sustainable farming focus.",high,"The study examines stakeholders, extension advisory services and prioritisation of CSA by public agencies and NGOs—i.e., institutional and policy/actor dimensions of agricultural practice rather than purely biophysical outcomes."
7210,"Babalad, Hanamantraya; Gunabhagya; Saraswathi; Navali, Gurudevi",2021,Comparative Economics of Zero Budget Natural Farming with Conventional Farming Systems in Northern Dry Zone (Zone-3) of Karnataka,10.46852/0424-2513.2.2021.23,Zotero,high,"The study is explicitly set in the Northern Dry Zone of Karnataka and uses primary data from farmers across multiple districts there, so an Indian state is the central study site.",high,"The study explicitly compares Zero Budget Natural Farming (a non-conventional, agroecological approach) with conventional farming systems, examining costs, yields, and farmer perceptions.",high,"The study systematically compares farm-level costs, yields and income/returns between ZBNF and conventional systems across sampled farmers, directly addressing economic and livelihood effects of adoption."
411,"Koner N., Laha A.",2021,"Economics of alternative models of organic farming: empirical evidences from zero budget natural farming and scientific organic farming in West Bengal, India",10.1080/14735903.2021.1905346,Scopus,high,"The study is empirically based on two specific districts (Purulia and Barddhaman) in West Bengal, using Indian farmers and contexts as the primary study sites, so India is the central focus.",high,"Empirical comparison of two alternative organic models, explicitly Zero Budget Natural Farming and scientific organic farming in West Bengal, analyzing costs, yields and income, so it addresses non‑conventional/sustainable farming approaches.",high,The study empirically analyzes farmers' incomes and economic viability under ZBNF versus scientific organic farming and explicitly examines socio-economic factors (livelihood/income effects and regional socio-economic conditions) that influence long-term sustainability.
412,"Mehjabeen, Saravanadurai A.",2021,Economies of mango cultivation in a whole-farm approach for smallholder farmers: A case study from India,10.18006/2021.9(Spl-3-NRMCSSA_2021).S286.S296,Scopus,high,"The study is a case study of smallholder mango farmers in Srinivaspur, Kolar district, Karnataka, using primary data from 320 local growers, so India is the primary study site and focus.",medium,"The study focuses on integrated farming systems, intercropping and optimal cropping patterns to enhance income and sustainability for smallholder mango growers, indicating attention to sustainable/agroecological practices though it does not explicitly name specific alternative systems (e.g., organic or ZBNF).",high,"Analyzes smallholder livelihoods and farm economics — including declining landholdings, income/welfare effects and optimal cropping patterns — based on interviews with 320 mango growers, indicating substantive social/economic dimensions."
445,"Das A., Datta D., Samajdar T., Idapuganti R.G., Islam M., Choudhury B.U., Mohapatra K.P., Layek J., Babu S., Yadav G.S.",2021,"Livelihood security of small holder farmers in eastern Himalayas, India: Pond based integrated farming system a sustainable approach",10.1016/j.crsust.2021.100076,Scopus,high,"The study is explicitly about pond-based integrated farming systems tested with farmers in South Garo Hills district, Meghalaya, and focuses on livelihoods in the eastern Himalayan region of India, making India the central study site and population.",high,"The study evaluates pond-based integrated farming systems—a diversified, whole-farm, sustainable/resilient approach that integrates crops, fish and livestock as an alternative to conventional agriculture to improve productivity and livelihoods.",high,"The study evaluates livelihood security for resource-poor smallholders by measuring income, employment generation and year‑round food/nutrition outcomes of pond‑based integrated farming systems, addressing socio‑economic and livelihood dimensions."
446,"Goswami G., Datta S., Sharma S., Mukherjee J.",2021,"Locally informed “remediation” interventions: lessons of community (co)engagement from semi-arid Bundelkhand, India",10.1016/B978-0-12-823895-0.00028-2,Scopus,high,"The study is explicitly a case study of Bundelkhand (a semi‑arid region in India) using quantitative and qualitative data from selected districts, so India is the primary study site and focus.",medium,"The paper focuses on small-scale, locally informed, community-driven ‘soft’ land remediation interventions aimed at sustainable livelihoods and empowerment, indicating alternative/sustainable land-management approaches rather than purely conventional/industrial agriculture — though specific agroecological or named alternative practices are not explicitly stated.",high,"The chapter examines community-driven, multistakeholder remediation interventions with qualitative farmer narratives addressing livelihoods, community empowerment, local economy, and barriers to locally informed practices, indicating substantive social analysis."
449,"Singh R.K., Singh A., Zander K.K., Mathew S., Kumar A.",2021,Measuring successful processes of knowledge co-production for managing climate change and associated environmental stressors: Adaptation policies and practices to support Indian farmers,10.1016/j.jenvman.2020.111679,Scopus,high,"The paper explicitly examines agricultural adaptation policies, practices, and traditional knowledge in India and assesses knowledge co-production specifically for Indian farmers, making India the central study context.",high,"The paper explicitly examines integration of farmers' traditional knowledge and co-produced adaptive practices for soil, water and crop management to improve climate resilience, which aligns with non-conventional, sustainable and agroecological approaches.",high,"The study examines stakeholder participation, incorporation of farmers' traditional knowledge, and policy/practice processes affecting subsistence farmers’ adaptive capacity, addressing social dimensions such as governance, livelihoods, and community knowledge systems."
464,"Manjula M., Devi P.I.",2021,Organic farming in India: Catalysts that can help in transition,10.37773/ees.v4i1.337,Scopus,high,"The paper explicitly investigates organic farming policy, market instruments, and transitions within India, referencing central and state government actions and national-level agricultural data, making India the primary focus.",high,"The paper focuses on transitioning Indian agriculture to organic farming and discusses market-based policy instruments to promote this sustainable, non-conventional approach.",high,"The paper focuses on policy and market-based instruments to induce transition to organic farming, addressing institutional and economic/social drivers (incentives, sustainability, market mechanisms) rather than purely agronomic outcomes."
465,"Manna M.C., Rahman M.M., Naidu R., Bari A.S.M.F., Singh A.B., Thakur J.K., Ghosh A., Patra A.K., Chaudhari S.K., Subbarao A.",2021,"Organic farming: A prospect for food, environment and livelihood security in Indian agriculture",10.1016/bs.agron.2021.06.003,Scopus,high,"The paper explicitly focuses on organic farming in Indian agriculture, evaluates India-specific strategies, nutrient availability estimates for India, and discusses policy and practice within the Indian context, making India the central focus.",high,"This paper is a review of organic farming in India, discussing organic inputs, environmental and food-security impacts, policy and practice, and therefore directly addresses a non-conventional/sustainable farming approach.",medium,"The review addresses livelihood/food security, market and policy issues and mentions social acceptance and farmer-to-farmer communication, but the abstract emphasizes environmental and agronomic topics so substantive social analysis is not clearly evident."
467,"Singh P.K., Chudasama H.",2021,Pathways for climate change adaptations in arid and semi-arid regions,10.1016/j.jclepro.2020.124744,Scopus,high,"The study is based on fuzzy cognitive maps from 427 community groups across 96 villages in 12 districts of arid and semi-arid India and evaluates adaptation pathways specifically for Indian drylands, making India the primary study site and focus.",high,"The paper evaluates nature-based adaptation pathways and explicitly identifies natural farming–assisted soil rejuvenation (alongside integrated water management) as key resilience strategies, indicating a clear focus on alternative/sustainable farming approaches.",high,"The study uses community-level fuzzy cognitive mapping across villages and explicitly analyzes social dimensions — institutions, inclusive and gender-nuanced governance, financial support and resilience of small and marginalised farming communities — indicating substantive attention to socio-economic and governance factors."
469,"Veluguri D., Bump J.B., Venkateshmurthy N.S., Mohan S., Pulugurtha K.T., Jaacks L.M.",2021,"Political analysis of the adoption of the Zero-Budget natural farming program in Andhra Pradesh, India",10.1080/21683565.2021.1901832,Scopus,high,"The study examines the state-wide Zero Budget Natural Farming program in Andhra Pradesh and draws on state government documents, fieldwork, and stakeholder interviews, making India (and a specific Indian state) the primary focus.",high,Examines the adoption of Zero-Budget Natural Farming/Community Managed Natural Farming in Andhra Pradesh and situates it within agroecology/organic sustainable agriculture policy and practice.,high,"The paper analyzes political and social processes driving state adoption of ZBNF — including civil society advocacy, bureaucratic champions, stakeholder perspectives, and emphasis on rural livelihoods — indicating substantive study of social dimensions."
485,Besky S.,2021,"The Plantation's Outsides: The Work of Settlement in Kalimpong, India",10.1017/S0010417521000104,Scopus,high,"The article is a historical case study centered on Kalimpong in Bengal's Himalayan foothills, examining colonial agricultural extension and settlement practices in an explicitly Indian regional context.",high,"The paper analyzes how colonial agricultural extension produced biodiverse small farms serving as a socio-ecological alternative to plantation monocultures, addressing non‑conventional/alternative smallholder farming rather than purely industrial agriculture.",high,"The paper analyzes colonial agricultural extension as a racialized and gendered biopolitical project that shaped land use, settlement, social reproduction, and livelihoods in Kalimpong, indicating substantive attention to social dimensions such as race, gender, land, and community formation."
487,"Pervez Bharucha Z., Attwood S., Badiger S., Balamatti A., Bawden R., Bentley J.W., Chander M., Davies L., Dixon H., Dixon J., D’Souza M., Butler Flora C., Green M., Joshi D., Komarek A.M., Ruth McDermid L., Mathijs E., Rola A.C., Patnaik S., Pattanayak S., Pingali P., Vara Prasad V.P., Rabbinge R., Ramanjaneyulu G.V., Ravindranath N.H., Sage C., Saha A., Salvatore C., Patnaik Saxena L., Singh C., Smith P., Srinidhi A., Sugam R., Thomas R., Uphoff N., Pretty J.",2021,The Top 100 questions for the sustainable intensification of agriculture in India’s rainfed drylands,10.1080/14735903.2020.1830530,Scopus,high,The paper explicitly focuses on sustainable intensification in India’s rainfed drylands and frames research priorities and policy in the Indian geographic and agricultural context.,high,"Focuses explicitly on sustainable intensification and alternative/ sustainable farming priorities for India’s rainfed drylands, addressing ecosystem services, dryland farming systems and research on non‑conventional practices.",medium,"The horizon-scanning exercise explicitly addresses social-ecological challenges (endemic poverty, malnutrition, rural development and policy) and generates research questions across themes that include livelihoods and socio-economic issues, indicating substantive coverage of social dimensions rather than a purely biophysical focus."
490,Münster D.,2021,"The nectar of life fermentation, soil health, and bionativism in indian natural farming",10.1086/715477,Scopus,high,"The study is explicitly centered on India—based on ethnography in Wayanad, Kerala, analyzes an Indian practitioner (Subhash Palekar), and discusses Indian natural farming practices and political contexts, making India the primary focus.",high,"Focuses on Zero Budget Natural Farming practices (Nectar of Life ferment) and broader natural farming/soil-health approaches in South India, clearly addressing alternative/agroecological farming.",high,"Ethnographic analysis centers on how fermentation and Zero Budget Natural Farming among smallholders create social and political meanings (bionativism, native-cow nationalism, agrarian identity), explicitly addressing cultural and political dimensions of farming."
493,"Walker G., Osbahr H., Cardey S.",2021,Thematic Collages in Participatory Photography: A Process for Understanding the Adoption of Zero Budget Natural Farming in India,10.1177/1609406920980956,Scopus,high,"The study’s primary empirical focus and fieldwork are in Andhra Pradesh, India—examining adoption of Zero Budget Natural Farming among local women’s self‑help groups across multiple agroecological zones, so India is the central case.",high,"The study specifically examines adoption of Zero Budget Natural Farming (a chemical-free, regenerative/alternative agriculture approach) in Andhra Pradesh using participatory methods, making it clearly about non‑conventional sustainable farming.",high,"The study uses participatory methods with women’s self‑help groups to explore social motivations, group dynamics, and participation in the ZBNF movement, addressing gender, community structures, and drivers of adoption."
497,"Khadse A., Rosset P.",2021,Zero Budget Natural Farming in India - From inception to institutionalization [Agricultura natural de presupuesto cero en India - Desde su inicio hasta su institucionalización],10.5380/dma.v58i0.81370,Scopus,high,"The paper explicitly analyzes Zero Budget Natural Farming within India, discussing its origins in Karnataka and institutionalization in Andhra Pradesh, so India is the primary study context.",high,"The paper directly addresses Zero Budget Natural Farming (an agroecological/alternative farming approach, including SPNF/APCNF themes) and its scaling/institutionalization in India.",high,"Analyzes the social and political evolution of ZBNF—from a peasant-led movement to state institutionalization—addressing drivers of adoption, scale-up, and challenges/contradictions, which are substantive social dimensions."
499,"Selvaraj T., Devadas P., Perumal J.L., Zabaniotou A., Ganesapillai M.",2022,A Comprehensive Review of the Potential of Stepwells as Sustainable Water Management Structures,10.3390/w14172665,Scopus,high,"The paper explicitly focuses on stepwells in India, reviewing major Indian stepwells, their historical, architectural, and water-management roles within the Indian context, so India is the central study focus.",high,"The review focuses on traditional/ancient water-harvesting and irrigation systems integrated with agriculture, use of local materials and agricultural wastes, and insights into social-ecological resilience and agricultural biodiversity, indicating a sustainable/traditional farming and agroecological angle.",medium,"Although primarily architectural and historical, the review explicitly examines socio-cultural behaviors, governance, community knowledge and traditional practices around water management as they relate to agricultural irrigation and social-ecological resilience, so it engages social dimensions (culture, governance, community structures) of farming."
